schema_version,target,device,level,browser,browser_major,os,os_major,cache_state,model_id,model_rev,dtype,doc_id,commit,date,machine_id,ttfa_ms,gen_ms,tok_s,rtf,gap_ms,stop_ms,coverage,bullets_total,bullets_cut,cut_rate,facts_token_hit,halluc_flags,forbidden_hits,oneline_keyword_hit,tts_overlimit,peak_mb,heap_mb
1,web,wasm,readall,chrome,153,macos,10,cold,onnx-community/Kokoro-82M-v1.0-ONNX,1939ad2a8e416c0acfeecc08a694d14ef25f2231,q8,005,13c7dc0,2026-09-26T01:58:37.103Z,web,2881,,,1.09,4245,0.05,1,,,,,,,,0,3488.171875,51.115068
1,web,wasm,readall,chrome,153,macos,10,cold,onnx-community/Kokoro-82M-v1.0-ONNX,1939ad2a8e416c0acfeecc08a694d14ef25f2231,q8,005,13c7dc0,2026-09-26T02:00:16.561Z,web,2752,,,1.1,3695,0.05,1,,,,,,,,0,3259.671875,51.21432
1,web,wasm,readall,chrome,153,macos,10,cold,onnx-community/Kokoro-82M-v1.0-ONNX,1939ad2a8e416c0acfeecc08a694d14ef25f2231,q8,005,13c7dc0,2026-09-26T02:01:56.056Z,web,2990,,,1.11,3605,0.05,1,,,,,,,,0,2677.40625,51.091012
1,web,webgpu,short,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,005,13c7dc0,2026-09-26T02:02:42.951Z,web,8207,5691,38.7,1.08,962,0.07,,6,0,0,0.6,0,0,,0,2778.578125,50.724944
1,web,webgpu,short,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,005,13c7dc0,2026-09-26T02:03:29.589Z,web,8254,6040,36.4,1.07,712,0.05,,6,0,0,0.6,0,0,,0,2869.6875,50.96542
1,web,webgpu,short,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,005,13c7dc0,2026-09-26T02:04:15.714Z,web,8027,6314,34.8,1.08,504,0.06,,6,0,0,0.6,0,0,,0,2813.4375,50.92766
1,web,webgpu,caveman,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,005,13c7dc0,2026-09-26T02:04:41.828Z,web,5825,3653,32.8,1.08,0,0.06,,5,0,0,0.6,0,0,,0,2817.875,52.905856
1,web,webgpu,caveman,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,005,13c7dc0,2026-09-26T02:05:07.819Z,web,5933,3728,32.2,1.07,0,0.05,,5,0,0,0.6,0,0,,0,2817.921875,51.937564
1,web,webgpu,caveman,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,005,13c7dc0,2026-09-26T02:05:34.119Z,web,6073,3926,30.6,1.07,0,0.04,,5,0,0,0.6,0,0,,0,2823.984375,53.380332
1,web,webgpu,oneline,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,005,13c7dc0,2026-09-26T02:05:35.572Z,web,,1228,25.2,1.11,3605,0.04,,1,0,0,0.3,0,0,0.25,0,2813.78125,53.22492
1,web,webgpu,oneline,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,005,13c7dc0,2026-09-26T02:05:47.823Z,web,,1215,25.5,1.11,3605,0.04,,1,0,0,0.3,0,0,0.25,0,2815.5,54.265248
1,web,webgpu,oneline,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,005,13c7dc0,2026-09-26T02:06:00.083Z,web,,1215,25.5,1.11,3605,0.04,,1,0,0,0.3,0,0,0.25,0,2807.296875,51.241624
1,web,wasm,readall,chrome,153,macos,10,cold,onnx-community/Kokoro-82M-v1.0-ONNX,1939ad2a8e416c0acfeecc08a694d14ef25f2231,q8,011,13c7dc0,2026-09-26T02:12:10.495Z,web,2662,,,1.12,2341,0.05,1,,,,,,,,0,2880.453125,50.855372
1,web,wasm,readall,chrome,153,macos,10,cold,onnx-community/Kokoro-82M-v1.0-ONNX,1939ad2a8e416c0acfeecc08a694d14ef25f2231,q8,011,13c7dc0,2026-09-26T02:18:09.727Z,web,2522,,,1.1,2389,0.06,1,,,,,,,,0,2880.703125,51.336084
1,web,wasm,readall,chrome,153,macos,10,cold,onnx-community/Kokoro-82M-v1.0-ONNX,1939ad2a8e416c0acfeecc08a694d14ef25f2231,q8,011,13c7dc0,2026-09-26T02:24:11.539Z,web,2958,,,1.02,2810,0.06,1,,,,,,,,0,2800.59375,51.681872
1,web,webgpu,short,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,011,13c7dc0,2026-09-26T02:25:04.261Z,web,7321,12297,27.2,0.99,2017,0.06,,12,0,0,0,0,0,,0,1448.109375,51.5996
1,web,webgpu,short,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,011,13c7dc0,2026-09-26T02:25:56.517Z,web,7273,11811,28.4,1,1532,0.05,,12,0,0,0,0,0,,0,1582.734375,51.557156
1,web,webgpu,short,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,011,13c7dc0,2026-09-26T02:26:48.361Z,web,7116,11267,29.7,1.06,1292,0.04,,12,0,0,0,0,0,,0,1504.421875,51.544048
1,web,webgpu,caveman,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,011,13c7dc0,2026-09-26T02:27:18.145Z,web,6199,7299,28.6,1.02,0,0.04,,10,0,0,0,0,0,,0,1504.84375,51.074336
1,web,webgpu,caveman,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,011,13c7dc0,2026-09-26T02:27:47.825Z,web,6051,7001,29.9,1.06,0,0.05,,10,0,0,0,0,0,,0,1508.109375,53.714668
1,web,webgpu,caveman,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,011,13c7dc0,2026-09-26T02:28:17.406Z,web,6051,7037,29.7,1.05,0,0.06,,10,0,0,0,0,0,,0,1513.421875,53.740108
1,web,webgpu,oneline,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,011,13c7dc0,2026-09-26T02:28:21.313Z,web,,3432,21,1.02,2810,0.04,,2,0,0,0,0,0,0.25,0,1501.75,51.843176
1,web,webgpu,oneline,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,011,13c7dc0,2026-09-26T02:28:32.025Z,web,,3451,20.9,1.02,2810,0.05,,2,0,0,0,0,0,0.25,0,1533.25,51.856244
1,web,webgpu,oneline,chrome,153,macos,10,cold,onnx-community/Qwen3.5-0.8B-Text-ONNX,1e45daba048899e7f771657ada617ec49350aa91,q4f16,011,13c7dc0,2026-09-26T02:28:42.454Z,web,,3436,21,1.02,2810,0.05,,2,0,0,0,0,0,0.25,0,1546.484375,51.861592
1,web,wasm,readall,chrome,153,macos,10,cold,onnx-community/Kokoro-82M-v1.0-ONNX,1939ad2a8e416c0acfeecc08a694d14ef25f2231,q8,025,13c7dc0,2026-09-26T03:14:07.195Z,web,8063,,,1.15,2138,0.04,1,,,,,,,,0,1663.65625,51.744324
1,web,wasm,readall,chrome,153,macos,10,cold,onnx-community/Kokoro-82M-v1.0-ONNX,1939ad2a8e416c0acfeecc08a694d14ef25f2231,q8,025,13c7dc0,2026-09-26T04:04:08.559Z,web,7487,,,0.93,9447,0.07,1,,,,,,,,0,1609.078125,51.416904
1,web,wasm,readall,chrome,153,macos,10,cold,onnx-community/Kokoro-82M-v1.0-ONNX,1939ad2a8e416c0acfeecc08a694d14ef25f2231,q8,025,13c7dc0,2026-09-26T04:55:00.602Z,web,9981,,,0.89,9577,0.07,1,,,,,,,,0,1219.921875,51.268088
